route_id,normalized_corridor_id,historic_daily_vehicle_km_proxy,ml_service_intensity_prediction,ml_service_intensity_residual,ml_service_intensity_anomaly_flag,ml_prediction_source,ml_prediction_claim_status,ml_model_version,ml_model_meaningful_vs_baseline,ml_service_intensity_used
LTFRB_PUJ1037,alabang__sucat,4548.179999999999,4555.032,-6.852000000000771,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1038,alabang__sucat,4548.179999999999,4555.032,-6.852000000000771,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1040,alabang__zapote-las-pinas,11533.14,11575.885,-42.7450000000008,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1041,almanza-las-pinas__baclaran,15120.48,15116.16,4.319999999999709,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1042,almanza-las-pinas__baclaran,15898.74,15918.566,-19.82600000000093,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1043,antipolo__cubao,22671.54,22616.961,54.57900000000154,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1044,antipolo__cubao,21995.28,22279.016,-283.7360000000008,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1045,antipolo__cubao,21618.9,21525.721,93.17900000000009,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1046,antipolo__cubao,19406.52,19501.664,-95.14400000000023,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1047,antipolo__edsa-shaw-blvd,14334.06,14473.472,-139.41200000000026,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1048,antipolo__edsa-shaw-blvd,14113.74,14024.839,88.90099999999984,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1049,antipolo__jrc-ortigas-shaw,17960.16,17857.647,102.51299999999901,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1050,antipolo__jrc-ortigas-shaw,17630.7,17698.801,-68.10099999999875,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1051,antipolo-cogeo__marikina,13580.28,13456.485,123.79500000000007,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1053,anonas-aurora__lagro,17569.5,17553.479,16.02100000000064,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1054,anonas-aurora__lagro,18097.86,17918.663,179.19700000000012,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1055,arroceros__proj-2-3,13533.36,13390.207,143.15300000000025,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1056,arroceros__proj-2-3,12785.7,12740.448,45.25200000000041,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1057,arroceros__roxas-dist,4357.4400000000005,4359.67,-2.2299999999995634,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1058,arroceros__roxas-dist,4357.4400000000005,4359.67,-2.2299999999995634,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1059,ayala__pateros,8194.68,8225.921,-31.240999999999985,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1060,ayala__pateros,7449.059999999999,7333.822,115.23799999999846,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1061,ayala__mantrade,2206.26,2272.822,-66.5619999999999,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
