agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_id,mode_context
LTFRB,,Monumento Philcite via Ayala EDSA,"Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City - Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",3,,FFFFFF,,LTFRB_PUB1087,bus
LTFRB,,Monumento Sucat via EDSA,"South Luzon Expressway, Muntinlupa City, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City",3,,FFFFFF,,LTFRB_PUB1088,bus
LTFRB,,Monumento Sucat via EDSA,"Epifanio de los Santos Avenue / General Rosendo Simon Intersection , Caloocan City - South Luzon Expressway, Muntinlupa City, Manila",3,,FFFFFF,,LTFRB_PUB1089,bus
LTFRB,,NAIA SM Fairview,"Natalia, Parañaque City, Manila - SM Public Transport Terminal, Regalado Highway, Quezon City",3,,,,LTFRB_PUB1090,bus
LTFRB,,NAIA SM Fairview,"Quirino Highway / Maligaya Intersection, Caloocan City - NAIA Rd, Parañaque City, Manila",3,,,,LTFRB_PUB1091,bus
LTFRB,,"Alabang - Malanday via EDSA, McArthur","MRT-3 Magallanes Station, EDSA, Makati City, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City",3,,FFFFFF,,LTFRB_PUB1092,bus
LTFRB,,"Alabang - Malanday via EDSA, McArthur","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",3,,FFFFFF,,LTFRB_PUB1093,bus
LTFRB,,Alabang - Navotas Terminal via EDSA,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",3,,FFFFFF,,LTFRB_PUB1095,bus
LTFRB,,"Alabang - Novaliches via EDSA, NLEX","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - North Luzon Expressway / Santiago Street Intersection, Valenzuela City",3,,FFFFFF,,LTFRB_PUB1096,bus
LTFRB,,"Alabang - Novaliches via EDSA, NLEX","North Luzon Expressway, Valenzuela City - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",3,,FFFFFF,,LTFRB_PUB1097,bus
LTFRB,,Alabang - Plaza Lawton,"Alabang-Zapote Road, Muntinlupa City, Manila - Plaza Santa Cruz, Manila City",3,,,,LTFRB_PUB1098,bus
LTFRB,,Alabang - Plaza Lawton,"Plaza Santa Cruz, Manila City - Alabang-Zapote Road, Muntinlupa City, Manila",3,,,,LTFRB_PUB1099,bus
LTFRB,,"Alabang-Novaliches via EDSA, MindanaoAve","National Hwy, Muntinlupa City, Manila - Quirino Highway, Quezon City",3,,FFFFFF,,LTFRB_PUB1100,bus
LTFRB,,"Alabang-Novaliches via EDSA, MindanaoAve","Quirino Highway, Quezon City - National Hwy, Muntinlupa City, Manila",3,,FFFFFF,,LTFRB_PUB1101,bus
LTFRB,,Alabang-SM Fairview via Lagro Commonwealth,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Belfast / Bulalakaw Intersection, Quezon City",3,,,,LTFRB_PUB1102,bus
