agency_id,route_long_name,representative_route_id,route_ids,direction_count,route_desc,bidirectional_pair_flag
LTFRB,PIER SOUTH-PROJ 6,LTFRB_PUJ1675,LTFRB_PUJ1675|LTFRB_PUJ1676,2,"25th St / Antonio C. Delgado Intersection, Manila - Road 3, Quezon City",True
LTFRB,PIER-DELPAN ZARAGOSA,LTFRB_PUJ1673,LTFRB_PUJ1673|LTFRB_PUJ1674,2,"Railroad Dr, Manila - E. Almario Elementary School, Kagitingan, Manila",True
LTFRB,PIER-MALANDAY,LTFRB_PUJ1671,LTFRB_PUJ1671|LTFRB_PUJ1672,2,"25th St / Antonio C. Delgado Intersection, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City",True
LTFRB,PIER-PASAY LIBERTAD,LTFRB_PUJ1670,LTFRB_PUJ1670,1,"Railroad Dr / 13th St Intersection, Manila - P. Villanueva, Lungsod ng Pasay",False
LTFRB,PROJ 2&3 ESPANA,LTFRB_PUJ2253,LTFRB_PUJ2253|LTFRB_PUJ2254,2,"España Blvd / Nicanor Reyes St Intersection, Manila - Molave, Quezon City, Manila",True
LTFRB,PROJ 2&3 KALAW via RODRIGUEZ,LTFRB_PUJ2255,LTFRB_PUJ2255|LTFRB_PUJ2256,2,"Maria Y. Orosa St, Manila - Molave, Quezon City, Manila",True
LTFRB,PROJ 2&3 TM KALAW via E RODRIGUEZ,LTFRB_PUJ2257,LTFRB_PUJ2257|LTFRB_PUJ2258,2,"T.M. Kalaw / Maria Y. Orosa St - Molave, Quezon City, Manila",True
LTFRB,PROJ 2&3-KALAW ESPANA,LTFRB_PUJ1866,LTFRB_PUJ1866|LTFRB_PUJ1867,2,"T.M. Kalaw / Maria Y. Orosa St - Molave, Quezon City, Manila",True
LTFRB,PROJ 2&3-QMART,LTFRB_PUJ1865,LTFRB_PUJ1865,1,"Molave, Quezon City, Manila - Kamias Rd / Colonel Salgado Intersection, Quezon City, Manila",False
LTFRB,PROJ 2&3-VITO CRUZ MABINI,LTFRB_PUJ1863,LTFRB_PUJ1863|LTFRB_PUJ2141|LTFRB_PUJ2142,3,"HP Village Square, Pablo Ocampo Sr., Manila - Molave, Quezon City, Manila",True
LTFRB,PROJ 4 (AURORA) - MORAYTA RECTO,LTFRB_PUJ1862,LTFRB_PUJ1862,1,"General Romulo Ave / Aurora Blvd Intersection, Quezon City, Manila - España Blvd / Nicanor Reyes St Intersection, Manila",False
LTFRB,PROJ 4 (YALE) - STOP N SHOP,LTFRB_PUJ1859,LTFRB_PUJ1859|LTFRB_PUJ1860,2,"Ramon Magsaysay Blvd / Altura Intersection, Manila - General Romulo Ave / Aurora Blvd Intersection, Quezon City, Manila",True
LTFRB,PROJECT 2 and 3 - QUIAPO,LTFRB_PUJ1857,LTFRB_PUJ1857,1,"Molave, Quezon City, Manila - Quezon Blvd, Manila",False
LTFRB,PROJECT 2 and 3 - TAFT REMEDIOS via E RODRIGUEZy,LTFRB_PUJ1855,LTFRB_PUJ1855|LTFRB_PUJ1856,2,"Remedios / Antonio Vasquez Intersection, Manila - Kamias Rd / Kalayaan Ave Intersection, Quezon City, Manila",True
LTFRB,PROJECT 2 and 3 - WELCOME RTDA via E RODRIGUEZ,LTFRB_PUJ1853,LTFRB_PUJ1853|LTFRB_PUJ1854,2,"Halcon / Espana Boulevard Intersection, Manila - Anonas / Molave Intersection, Quezon City, Manila",True
LTFRB,Pabahay ni Erap (Sub-urban) - Commonwealth Market,LTFRB_PUJ1444,LTFRB_PUJ1444|LTFRB_PUJ1445,2,"Batasan Road / Commonwealth Avenue Intersection, Quezon City - Un- named Road, Rodriguez",True
LTFRB,"Pacita - Novaliches Term via Malinta Ex, EDSA",LTFRB_PUB1181,LTFRB_PUB1181|LTFRB_PUB1182,2,"National Highway / Unnamed Rd, San Pedro, Manila - Genteral Luis / East Street Intersection, Caloocan City",True
