route_id,route_long_name,avg_headway_min,daily_service_window_hrs,trips_per_day_estimate,weekday_frequency_rows,frequency_source
LTFRB_PUJ1050,Antipolo - JRC Ortigas/Shaw,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1051,Antipolo (Cogeo) - Marikina via Sumulong,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1053,Anonas/Aurora - Lagro via Don Mariano Marcos Ave.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1054,Anonas/Aurora - Lagro via Don Mariano Marcos Ave.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1055,Arroceros - Proj. 2 & 3 via Kamuning E. Rodriguez,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1056,Arroceros - Proj. 2 & 3 via Kamuning E. Rodriguez,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1057,Arroceros - Roxas Dist. Via Espana,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1058,Arroceros - Roxas Dist. Via Espana,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1059,Ayala - Pateros via J.P. Rizal,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1060,Ayala - Pateros via J.P. Rizal,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1061,Ayala - Mantrade via Pasong Tamo,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1062,Ayala - Mantrade via Pasong Tamo,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1063,Ayala - Washington,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1064,Ayala - Washington,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1065,Baclaran - Bacoor,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1066,Baclaran - Bacoor,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1067,Baclaran - MIA/Baltao,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1068,Baclaran - MIA/Baltao,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1069,Baclaran - Nichols via CAA,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1070,Baclaran - Nichols via CAA,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1071,"Baclaran - Blumentritt via L. Guinto, Quiapo",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1072,"Baclaran - Blumentritt via L. Guinto, Quiapo",1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1073,"Baclaran - Blumentritt via Mabini, Quiapo",1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1074,"Baclaran - Blumentritt via Mabini, Quiapo",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1075,"Baclaran - Blumentritt via L. Guinto, Sta. Cruz",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1076,"Baclaran - Blumentritt via L. Guinto, Sta. Cruz",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1077,"Baclaran - Blumentritt via Mabini, Sta. Cruz",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1078,"Baclaran - Blumentritt via Mabini, Sta. Cruz",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1079,Baclaran - Dapitan via Mabini,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1080,Baclaran - Dapitan via Mabini,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1081,Baclaran - Divisoria via Mabini,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1083,Baclaran - Moonwalk via Quirino,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1084,Baclaran - Moonwalk via Quirino,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1085,Baclaran - P. Campa via L. Guinto,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1086,Baclaran - P. Campa via L. Guinto,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1087,Baclaran - P. Campa via Mabini,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1088,Baclaran - P. Campa via Mabini,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1089,Baclaran - Q.I.via Mabini,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1090,Baclaran - Q.I.via Mabini,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1091,"Baclaran - Retiro via L. Guinto, Quiapo",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1094,"Baclaran - Retiro via Mabini, Sta. Cruz",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1095,"Baclaran - Sucat/SSH via Imelda Ave.,",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1096,"Baclaran - Sucat/SSH via Imelda Ave.,",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1097,Baclaran - Sucat/SSH via Quirino Ave.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1098,Baclaran - Sucat/SSH via Quirino Ave.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1099,Baclaran - Zapote (Las Pinas),1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1100,Baclaran - Zapote (Las Pinas),1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1101,Baclaran - Bahayang PAG-ASA Subd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1102,Baclaran - Bahayang PAG-ASA Subd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1103,Bacood - R. Magsaysay/Old Sta. Mesa,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1104,Bacood - R. Magsaysay/Old Sta. Mesa,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
