route_id,corridor_cluster_id,corridor_type_label,cluster_distance,cluster_outlier_flag,typology_pca_x,typology_pca_y,clustering_model_version,typology_claim_status
LTFRB_PUJ1916,1,High-Stop-Density Core,1.0949,False,-1.934,-0.5932,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1917,1,High-Stop-Density Core,1.1001,False,-1.9367,-0.5702,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1918,1,High-Stop-Density Core,1.3958,False,-0.9431,0.6829,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1919,1,High-Stop-Density Core,1.6026,False,-0.9851,0.6721,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1920,1,High-Stop-Density Core,1.0755,False,-2.3188,0.352,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1922,1,High-Stop-Density Core,0.775,False,-1.351,-0.0814,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1923,1,High-Stop-Density Core,0.4841,False,-1.7021,0.3395,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1924,1,High-Stop-Density Core,2.046,False,-1.3984,0.8669,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1925,1,High-Stop-Density Core,2.046,False,-1.3984,0.8669,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1926,1,High-Stop-Density Core,0.6945,False,-1.4791,0.8143,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1928,1,High-Stop-Density Core,1.0939,False,-1.4386,0.7044,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1929,1,High-Stop-Density Core,1.1216,False,-1.1599,0.9189,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1930,1,High-Stop-Density Core,0.5896,False,-1.6574,0.7841,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1931,1,High-Stop-Density Core,0.5896,False,-1.6574,0.7841,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1932,1,High-Stop-Density Core,0.7531,False,-1.8164,0.8152,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1933,1,High-Stop-Density Core,0.7531,False,-1.8164,0.8152,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1934,1,High-Stop-Density Core,8.0965,True,-2.0499,0.2643,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1935,1,High-Stop-Density Core,8.7351,True,-2.0233,0.1298,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1936,2,Dense Urban Trunk,1.7144,False,4.5656,0.3776,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1937,2,Dense Urban Trunk,1.8606,False,4.6918,0.4337,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1940,2,Dense Urban Trunk,1.3149,False,3.8712,0.5475,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1941,2,Dense Urban Trunk,1.3115,False,3.8861,0.5409,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1942,0,Long Regional Connector,1.1389,False,-0.0012,-0.4324,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1943,0,Long Regional Connector,1.1702,False,0.132,-0.4666,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1944,2,Dense Urban Trunk,1.5471,False,4.3372,0.4403,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1947,1,High-Stop-Density Core,0.877,False,-0.9213,0.6154,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1948,1,High-Stop-Density Core,1.2331,False,-2.1321,-0.4149,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1949,1,High-Stop-Density Core,1.0725,False,-2.0562,-0.4446,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1950,1,High-Stop-Density Core,2.807,False,-2.2339,0.3182,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1951,1,High-Stop-Density Core,3.3837,True,-2.1564,0.2677,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1952,1,High-Stop-Density Core,2.227,False,-2.7129,0.5984,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1953,1,High-Stop-Density Core,2.3695,False,-2.7858,0.5984,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1954,1,High-Stop-Density Core,1.0804,False,-2.1181,0.6428,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1955,1,High-Stop-Density Core,1.0315,False,-1.8522,0.5082,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1956,1,High-Stop-Density Core,1.3883,False,-0.815,0.5915,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1957,1,High-Stop-Density Core,0.7037,False,-1.2818,-0.0963,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1958,1,High-Stop-Density Core,1.1462,False,-1.0325,1.0289,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1959,1,High-Stop-Density Core,1.6089,False,-0.8702,1.1247,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1960,1,High-Stop-Density Core,1.6908,False,-2.4512,0.5436,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1961,1,High-Stop-Density Core,1.1644,False,-2.436,0.654,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1962,1,High-Stop-Density Core,1.7381,False,-2.1985,0.7506,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1963,1,High-Stop-Density Core,1.9758,False,-2.7046,0.4713,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1964,0,Long Regional Connector,2.0751,False,0.0918,1.549,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1965,0,Long Regional Connector,1.8256,False,0.0529,1.5886,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1966,0,Long Regional Connector,1.3226,False,-0.3381,1.1402,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1967,0,Long Regional Connector,1.4497,False,-0.3856,1.1648,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1968,1,High-Stop-Density Core,0.9389,False,-2.1926,0.8129,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1969,1,High-Stop-Density Core,1.0026,False,-2.1822,0.7561,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1970,1,High-Stop-Density Core,1.0259,False,-1.4986,1.2041,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1971,1,High-Stop-Density Core,1.0259,False,-1.4986,1.2041,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1972,1,High-Stop-Density Core,1.5662,False,-2.0977,-0.0295,typology-v1-f9da2ebe,ML_ESTIMATED
