route_id,route_long_name,corridor_type_label,phase1_selected,daily_vkt,fleet_size_proxy,charger_count_proxy,vehicle_capex_proxy_php,charger_capex_proxy_php,total_capex_proxy_php,fleet_proxy_claim_status,vehicle_cost_claim_status,charger_cost_claim_status,financing_claim_status,feasibility_source_ids,feasibility_method_version
LTFRB_PUJ1096,"Baclaran - Sucat/SSH via Imelda Ave.,",Dense Urban Trunk,False,13980.12,117,6,292500000.0,3000000.0,295500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1529,"Pasig - Taguig via Maestrang Pinang, Tipas",High-Stop-Density Core,False,4789.92,40,2,100000000.0,1000000.0,101000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1712,MUNOZ-PANTRANCO,High-Stop-Density Core,False,3959.64,33,2,82500000.0,1000000.0,83500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1713,MUNOZ-PANTRANCO,High-Stop-Density Core,False,3181.38,27,2,67500000.0,1000000.0,68500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2153,MALABON - MONUMENTO via ACACIA,High-Stop-Density Core,False,6187.32,52,3,130000000.0,1500000.0,131500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1296,Divisoria - Velasquez,High-Stop-Density Core,False,2907.0,25,2,62500000.0,1000000.0,63500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1697,NOVALICHES-BAGONG SILANG KANAN PH9,High-Stop-Density Core,False,8411.94,71,4,177500000.0,2000000.0,179500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1419,Malabon - Monumento via Letre,High-Stop-Density Core,False,3613.86,31,2,77500000.0,1000000.0,78500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1528,"Pasig - Taguig via Maestrang Pinang, Tipas",High-Stop-Density Core,False,5095.92,43,3,107500000.0,1500000.0,109000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1622,UP Highway - Sangandaan,High-Stop-Density Core,False,6207.72,52,3,130000000.0,1500000.0,131500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2551,Molino-Zapote,High-Stop-Density Core,False,6835.02,57,3,142500000.0,1500000.0,144000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1951,EDSA NORTH AVE - PROJ 6,High-Stop-Density Core,False,3854.58,33,2,82500000.0,1000000.0,83500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2382,Pasay RTDA QI via L Guinto,High-Stop-Density Core,False,4163.639999999999,35,2,87500000.0,1000000.0,88500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2468,Anonas via vluna,High-Stop-Density Core,False,2076.7200000000003,18,1,45000000.0,500000.0,45500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1409,Lardizabal - Rizal Ave. via M. dela Fuente,High-Stop-Density Core,False,2857.02,24,2,60000000.0,1000000.0,61000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1003,A. Bonifacio - A. Mabini via 10th Avenue,Long Regional Connector,False,2843.76,24,2,60000000.0,1000000.0,61000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1440,Marcos Ave. - Quirino Hi-way via T. Sora,High-Stop-Density Core,False,8089.62,68,4,170000000.0,2000000.0,172000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1344,FTI - Kayaman C,High-Stop-Density Core,False,7586.759999999999,64,4,160000000.0,2000000.0,162000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1456,Marikina - San Mateo,High-Stop-Density Core,False,5972.1,50,3,125000000.0,1500000.0,126500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1925,L GUINTO - STA ANA,High-Stop-Density Core,False,3813.78,32,2,80000000.0,1000000.0,81000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1457,Marikina - San Mateo,High-Stop-Density Core,False,5958.839999999999,50,3,125000000.0,1500000.0,126500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2071,BACLARAN - ZAPOTE BACOOR,High-Stop-Density Core,False,9455.4,79,4,197500000.0,2000000.0,199500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2072,BACLARAN - ZAPOTE BACOOR,High-Stop-Density Core,False,9455.4,79,4,197500000.0,2000000.0,199500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2507,Galas-Barbosa,High-Stop-Density Core,False,1973.7,17,1,42500000.0,500000.0,43000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1116,Bagong Silang - Novaliches (TP) via Susano,Long Regional Connector,False,7424.58,62,4,155000000.0,2000000.0,157000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2362,North Harbor Sta Mesa via Magsaysay,High-Stop-Density Core,False,3034.5,26,2,65000000.0,1000000.0,66000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2506,Galas-Barbosa,High-Stop-Density Core,False,1934.94,17,1,42500000.0,500000.0,43000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2214,EDSA Shaw Central San Joaquin,High-Stop-Density Core,False,5506.9800000000005,46,3,115000000.0,1500000.0,116500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1696,NOVALICHES-BAGONG SILANG KANAN PH9,High-Stop-Density Core,False,8205.9,69,4,172500000.0,2000000.0,174500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2116,ANGONO - TROPICAL STA LUCIA,Dense Urban Trunk,False,14842.02,124,7,310000000.0,3500000.0,313500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1162,Blumentritt - I. Delos Reyes/P. Campa via Dimasalang,High-Stop-Density Core,False,2670.36,23,2,57500000.0,1000000.0,58500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2432,Talayan Vill A Bonifacio 5th Ave,High-Stop-Density Core,False,4525.740000000001,38,2,95000000.0,1000000.0,96000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1865,PROJ 2&3-QMART,High-Stop-Density Core,False,3786.24,32,2,80000000.0,1000000.0,81000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1943,FAIRVIEW - PHILCOA,High-Stop-Density Core,False,10678.38,89,5,222500000.0,2500000.0,225000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1770,CUBAO-PROJ2-3,High-Stop-Density Core,False,3257.88,28,2,70000000.0,1000000.0,71000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2499,Escolta-Libertad via Mabini,High-Stop-Density Core,False,8187.539999999999,69,4,172500000.0,2000000.0,174500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1408,Lardizabal - Rizal Ave. via M. dela Fuente,High-Stop-Density Core,False,2622.42,22,2,55000000.0,1000000.0,56000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1926,L GUINTO - PANDACAN,High-Stop-Density Core,False,3986.16,34,2,85000000.0,1000000.0,86000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1097,Baclaran - Sucat/SSH via Quirino Ave.,Dense Urban Trunk,False,13651.68,114,6,285000000.0,3000000.0,288000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1004,A. Bonifacio - A. Mabini via 10th Avenue,High-Stop-Density Core,False,2596.92,22,2,55000000.0,1000000.0,56000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1899,MARKET MARKET - NASCOR,High-Stop-Density Core,False,2136.9,18,1,45000000.0,500000.0,45500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2104,ARROCEROS - DAPITAN,High-Stop-Density Core,False,3665.88,31,2,77500000.0,1000000.0,78500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1498,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",High-Stop-Density Core,False,8622.06,72,4,180000000.0,2000000.0,182000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1499,"Novaliches - Shelter Ville via Camarin Rd., Bagon Silang",High-Stop-Density Core,False,8622.06,72,4,180000000.0,2000000.0,182000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2074,BACLARAN - SUCAT SSH via NINOY AQUINO AVE,Dense Urban Trunk,False,13179.42,110,6,275000000.0,3000000.0,278000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2180,Blumentrit Rtda v Sta Cruz,High-Stop-Density Core,False,3226.26,27,2,67500000.0,1000000.0,68500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2497,Cainta Junction Cubao via Imelda Avenue,High-Stop-Density Core,False,10436.64,87,5,217500000.0,2500000.0,220000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1587,Santol - Pina Ave. via Buenos Aires,High-Stop-Density Core,False,1732.98,15,1,37500000.0,500000.0,38000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1727,LIBERTAD-EVANGELISTA,High-Stop-Density Core,False,2555.1,22,2,55000000.0,1000000.0,56000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2073,BACLARAN - SUCAT SSH via NINOY AQUINO AVE,Dense Urban Trunk,False,13154.94,110,6,275000000.0,3000000.0,278000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2552,Molino-Zapote,High-Stop-Density Core,False,7294.019999999999,61,4,152500000.0,2000000.0,154500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2565,Munoz Market Pantranco,High-Stop-Density Core,False,2768.28,24,2,60000000.0,1000000.0,61000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1013,Alabang - Baclaran via Ninoy Aquino,Dense Urban Trunk,False,13834.26,116,6,290000000.0,3000000.0,293000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2428,Sta Ana P Faura,High-Stop-Density Core,False,3856.62,33,2,82500000.0,1000000.0,83500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1019,Alabang - GMA via Carmona National Rd.,Dense Urban Trunk,False,12327.72,103,6,257500000.0,3000000.0,260500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1159,Blumentritt - Divisoria,High-Stop-Density Core,False,2485.74,21,2,52500000.0,1000000.0,53500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2179,Blumentrit Rtda v Sta Cruz,High-Stop-Density Core,False,3178.32,27,2,67500000.0,1000000.0,68500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
