route_id,route_short_name,route_long_name,route_desc,representative_trip_id,length_km,geometry_source,stop_count,avg_headway_min,daily_service_window_hrs,trips_per_day_estimate,weekday_frequency_rows,frequency_source,daily_vehicle_km_proxy,corridor_population_proxy,equity_overlap_pct,endpoint_distance_km,geometry_detour_ratio,duplicate_stop_fraction,max_consecutive_stop_gap_km,geometry_valid,self_intersection_flag,geometry_reliability_score,geometry_reliability_grade,geometry_reliability_reasons,geometry_validation_required,geometry_claim_status,hub_connectivity_count,validation_status,active_status,validation_date,validator,source_type,source_reference,notes,observed_headway_min,observed_service_window_hrs,geometry_verified,operator_name_if_verified,evidence_quality,normalized_corridor_id,stops_per_km,mean_stop_spacing_m,geometry_source_is_shape,historic_daily_vehicle_km_proxy,service_input_claim_status,feature_source_ids
LTFRB_PUJ1011,,A. Rivera - Raon via Tomas Mapua,"Jose Abad Santos Avenue / Tayuman Road, Quezon City - A F. Torres, Manila",724923,2.17,stop_sequence_approx,13,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday,2213.4,254972.3,96.939,1.745,1.243,0.0,0.338,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,a-rivera__raon,5.990783410138249,180.83333333333334,0,2213.4,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1012,,A. Rivera - Raon via Tomas Mapua,"A F. Torres, Manila - Jose Abad Santos Avenue / Tayuman Road, Quezon City",726064,2.35,stop_sequence_approx,13,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,2397.0,316502.0,97.534,1.745,1.347,0.0,0.36,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,1,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,a-rivera__raon,5.531914893617021,195.83333333333334,0,2397.0,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1013,,Alabang - Baclaran via Ninoy Aquino,"Dr A. Santos Ave, Parañaque City, Manila - Redemptorist Road, Parañaque City, Manila",726294,13.563,stop_sequence_approx,49,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,13834.26,443017.2,53.89,10.194,1.331,0.0,0.659,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,1,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,alabang__baclaran,3.6127700361277,282.5625,0,13834.26,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1014,,Alabang - Baclaran via Ninoy Aquino,"Redemptorist Road, Parañaque City, Manila - Dr A. Santos Ave, Parañaque City, Manila",726355,13.468,stop_sequence_approx,51,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,13737.36,487318.3,60.13,10.194,1.321,0.0,0.471,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,1,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,alabang__baclaran,3.7867537867537866,269.36,0,13737.36,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1015,,"Alabang - Baclaran via San Dionisio, Zapote","Pinaglabanan / Quirino Avenue, Parañaque City, Manila - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",725525,18.467,stop_sequence_approx,68,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,18836.34,656903.1,67.038,13.268,1.392,0.0,0.512,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,2,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,alabang__baclaran,3.682244002815834,275.6268656716418,0,18836.34,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1016,,"Alabang - Baclaran via San Dionisio, Zapote","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Pinaglabanan / Quirino Avenue, Parañaque City, Manila",725602,19.261,stop_sequence_approx,65,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,19646.22,651064.3,66.771,13.268,1.452,0.0,0.52,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,2,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,alabang__baclaran,3.3746949794922383,300.953125,0,19646.22,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1017,,Alabang - Carmona,"Governor's Drive, Carmona, Manila - Civic Dr, Muntinlupa City, Manila",726266,12.171,stop_sequence_approx,33,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,12414.42,329572.4,57.582,10.863,1.12,0.0,0.677,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,alabang__carmona,2.7113630761646537,380.34375,0,12414.42,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1018,,Alabang - Carmona,"Civic Dr, Muntinlupa City, Manila - Governor's Drive, Carmona, Manila",724847,12.101,stop_sequence_approx,33,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,12343.02,329572.4,57.582,10.863,1.114,0.0,0.677,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,alabang__carmona,2.727047351458557,378.15625,0,12343.02,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1019,,Alabang - GMA via Carmona National Rd.,"National Hwy, Biñan City, Manila - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",725346,12.086,stop_sequence_approx,43,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,12327.72,432663.0,65.871,10.001,1.208,0.0,0.719,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,3,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,alabang__gma,3.557835512162833,287.76190476190476,0,12327.72,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1020,,Alabang - GMA via Carmona National Rd.,"Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila - National Hwy, Biñan City, Manila",724654,10.899,stop_sequence_approx,43,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday,11116.98,420923.7,67.708,10.001,1.09,0.0,0.392,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,2,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,alabang__gma,3.945316084044408,259.5,0,11116.98,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
